invoice_ref,line_date,line_amount
490365,2026-02-16,84.61
490322,2026-02-16,42.00
491184,2026-02-17,51.31
492408,2026-02-19,52.80
492507,2026-02-19,21.60
493148,2026-02-20,82.34
493470,2026-02-21,42.00
493816,2026-02-21,24.78
493469,2026-02-21,226.65
508528,2026-03-20,231.65
508412,2026-03-20,245.67
509591,2026-03-21,406.04
509671,2026-03-21,27.21
510466,2026-03-23,534.86
510958,2026-03-24,14.49
511210,2026-03-24,35.83
512810,2026-03-26,46.00
515770,2026-03-31,1370.34
518865,2026-04-03,28.57
518767,2026-04-03,1316.65
519806,2026-04-04,83.20
519436,2026-04-04,32.00
520746,2026-04-06,111.45
520737,2026-04-06,1009.05
520278,2026-04-06,319.81
521839,2026-04-07,292.91
521090,2026-04-07,100.88
521542,2026-04-07,148.56
522734,2026-04-08,15.40
522584,2026-04-08,352.04
522023,2026-04-08,15.49
522080,2026-04-08,22.61
523023,2026-04-09,30.98
523586,2026-04-09,753.00
525028,2026-04-10,32.67
524001,2026-04-10,73.59
525748,2026-04-11,131.50
525164,2026-04-11,687.26
525171,2026-04-11,87.56
526604,2026-04-13,168.56
526462,2026-04-13,62.22
527581,2026-04-15,128.30
527714,2026-04-15,17.08
530254,2026-04-18,167.54
529765,2026-04-18,663.74
530924,2026-04-20,27.82
532312,2026-04-22,22.49
532310,2026-04-22,100.53
531835,2026-04-22,36.00
532488,2026-04-23,120.00
533520,2026-04-24,77.05
533954,2026-04-24,45.99
534687,2026-04-25,727.53
534854,2026-04-25,67.86
549230,2026-05-16,71.29
549407,2026-05-16,81.58
550222,2026-05-18,173.48
551607,2026-05-20,91.03
551430,2026-05-20,175.25
552003,2026-05-21,191.81
